,title,dates,place,description
38,🎭 CIME DI STAND-UP feat. FILIPPO SPREAFICO,"23.05.2025 | 21:00
","""Teatro Osservatorio"" APS","
Signore e Signori, altra sorpresa di Maggio: FILIPPO SPREAFICO 👀

Ultima Stand-Up Comedy della stagione al Teatro Osservatorio 👀
Vuoi venire? EEEEEE STAVOLTA NON TE LO PUOI PERDERE

Classe '88, comico giramondo.
Apparso su Comedy Central, Italia’s Got Talent e Rai2, ed è stato membro fisso del cast del programma comico cult “Battute?”.
Si è esibito in quattro continenti ed ha partecipato ai Fringe Festival di Edimburgo, Melbourne e Adelaide.

Che fai? Non vieni? 👀

23/05 - @improfficina (ingresso riservato ai soci, prenotazioni sul link Eventbrite

https://www.eventbrite.it/e/cime-di-stand-up-tickets-1362861899629?aff=oddtdtcreator&fbclid=PAZXh0bgNhZW0CMTEAAaf1ILs13SD7PyPkznGAUAwgOqUovyFnNlNBvqhKSURFqCL9tefDIyb5GSmG8A_aem_NyDNf6FG-kmlhZJ4aCdpqw"
39,✊ Innovazione sociale - Attivarsi per cambiare le comunità,"24.05.2025 | 17:00
",Caffè Portineria Bari,"
✨ Terzo appuntamento live del progetto ""Radici - racconti di attivismo civico in Puglia"", in cui registreremo dal vivo gli episodi 5 e 6 del podcast.

🌀 Parleremo di innovazione sociale, e lo faremo con:

🌱 @giuliaiacovelli96, mentor che dirige una fondazione che si occupa di orientamento universitario. È anche cofondatrice di @moveon_sparks, ente del terzo settore pugliese che si rivolge agli studenti della scuola secondaria di secondo grado applicando le metodologie dell’educazione non formale e gli strumenti dell’e-learning all’innovazione della didattica tradizionale.

🌱 Marco Costantino, che da 20 anni lavora alle politiche giovanili della Regione Puglia, occupandosi della gestione di bandi e iniziative per l’attivazione giovanile.

🌈 Innovazione sociale: attivarsi per cambiare le comunità
🗓️ Sabato 24 maggio, ore 17.00
 @caffeportineria, via Roberto da Bari... [continua a leggere](https://www.apuliacore.org/evento/044ffa27-9a49-4e82-81e2-114d045c68b9"
40,🎹 Festa dei Popoli,"23.05.2025 | 21:00 - 25.05.2025 | 23:20
","Parco Princigalli, via Ignazio loiacono 3, Bari","
Festa dei Popoli musica live dalle 21
. Synthomatics + Peps1 e Bruttoforte
. Rosa Paeda h Dub Fevah Band
. Novembre 87"
41,📖 Antonio Ferrara a Spine. A tu per tu con l'autore. Incontro firmacopie,"26.05.2025 | 18:00 - 20:00
",Spine Bookstore c/o Officina degli Esordi,"
📚 Siamo felici di invitarvi a un evento speciale dedicato ai giovani lettori, agli appassionati di letteratura per ragazzi, e a chi ama le storie capaci di lasciare il segno: #AntonioFerrara, autore e illustratore pluripremiato, tra cui il Premio Andersen nel 2012, sarà nostro ospite a Bari in Officina degli Esordi, per un incontro dal vivo tra parole, disegni e racconti.
Un appuntamento riservato anche a lettori di ogni età, insegnanti, educatori, bibliotecari, giovani scrittori e illustratori, o semplici appassionati.
Autore di numerosi libri pubblicati con diverse case editrici italiane – tra cui Edizioni EL, Einaudi Ragazzi, Emme Edizioni, Editrice Il Castoro, Settenove, Feltrinelli, Topipittori, Coccole Books e molte altre – Antonio Ferrara ha saputo conquistare migliaia di lettori grazie a una scrittura intensa, empatica, capace di... [continua a leggere](https://www.apuliacore.org/evento/7708e059-3cec-4e54-b499-7e585c7395a0"
42,"📖 ""LA FORMA CHE MI HAI DATO"". Presentazione con Lorenzo Ghetti a Spine","23.05.2025 | 19:00 - 21:00
",Spine Bookstore c/o Officina degli Esordi,"
Sta per tornare a trovarci in città un amico speciale di Spine: Lorenzo Ghetti, autore di fumetti e webcomics tra i più originali del panorama italiano, per presentarci dal vivo il suo nuovo lavoro, ""LA FORMA CHE MI HAI DATO"", pubblicato con Coconino Press ✨

In un incontro aperto al pubblico, Lorenzo Ghetti ci guiderà alla scoperta della sua ultima opera, raccontando il processo creativo, le ispirazioni dietro la storia e il modo in cui narrazione e disegno si intrecciano in un linguaggio visivo tutto suo. Una nuova occasione unica per conoscere da vicino l’autore di progetti acclamati come ""To Be Continued"", ""Dove non sei tu"", ""Apri"", ""Isa vince tutto"", e dialogare con lui su temi, personaggi e futuro del fumetto contemporaneo.

🗓 Venerdì 23 Maggio 2025
 Spine c/o Officina degli Esordi,... [continua a leggere](https://www.apuliacore.org/evento/285e2f0b-12d0-4e72-9acd-d1cb77a326b6"
43,❔ Swap Party,"18.05.2025 | 18:00
","""DiFronte"", Via S.Maria 34, Corato, Bari","
👕 *Ritorna il nostro Swap Party!* 👘

Domenica 18 maggio non prendere impegni! Ti aspettiamo presso il locale DIFRONTE (Via S. Maria 34, Corato a partire dalle ore 18:00 per il nostro Swap Party!👚👗

Potrai scambiare i tuoi vestiti contribuendo a generare un cambiamento sugli impatti ambientali dando una seconda vita ad abiti che non indossi più. 🌱

Come funziona? Porta con te massimo 10 capi che non presentino difetti e che siano ben puliti da scambiare con altre persone!
Potrai portare indumenti, ma anche piccoli accessori come collane, anelli, foulard e tutto ciò che riguarda l'abbigliamento.🧤🧢

Non hai nulla da scambiare? Vieni lo stesso!
Ad accompagnare lo Swap ci saranno birre, sangria e tanta bella compagnia!🍹
Inoltre ci sarà Dj Andie a farci ballare tutto il tempo con la sua super selezione musicale! 🪩

Non mancare, ti aspettiamo!🌈"
44,🎹 ELETTROSTATION,"15.05.2025 | 22:00 - 03:00
",DevilAngel,"
💿💿RACCONTI ELETTRONICI 💿💿
Dalle 22 alle 3"
45,🎨 Comete Palestinesi,"17.05.2025 | 17:30 - 23:30
",Agorateca,"
La questione palestinese, come una cometa, attraversa le nostre vite. Ci invita a sviluppare una maggiore consapevolezza di sé, della storia e delle culture che ci circondano.

Anzitutto ne parliamo con Amira Abuamra, Stefano Lorusso e Salvatore Spalluto: personalità attive sul nostro territorio.

Incontriamo poi la cultura palestinese attraverso la mostra di foto e illustrazioni dell'artista Zaid Ayasa, oltre che a un concerto dedicato per la serata a cura del Cantiere Comune Mediterraneo."
46,🎹 Jazz A Teatro,"14.05.2025 | 21:00 - 23:00
",Teatro Abeliano,"
La band Winstoned assieme ai ragazzi della Cettina Donato Class Music Ensamble siamo lieti di annunciarvi Jazz A Teatro, la rassegna frutto della collaborazione tra il Gruppo Abeliano e il Conservatorio Piccinni di Bari dall’idea di Vito Signorile e Roberto Ottaviano, con il coordinamento di Livio Minafra."
47,"🎨 ""OSPITI"" - Workshop di fanzine con Giulia Cellino da Spine","14.05.2025 | 16:00 - 18:30
",Spine Bookstore c/o Officina degli Esordi,"
MERCOLEDI’ 14 MAGGIO, uno speciale #workshop di #fanzine collettiva con l'autrice Giulia Cellino, da noi a Spine, dalle 16.00.
🪑Sarà un #laboratorio dove produrre in forma di #fanzine una sequenza di immagini / parole sviluppate in gruppo, sul tema 'OSPITI', con il risultato di creare una sequenza di spazi domestici, e come noi vi interagiamo. Il #workshop nella sua interezza è anche volto a sperimentare l'attenzione a diversi #sensi durante il #disegno, a scoprire che le #storie si fanno anche con pochissimo...
Il risultato finale del montaggio narrativo sarà totalmente imprevedibile, e dipenderà da chi vi parteciperà...
Si lavorerà individualmente agli elementi/ tavole, per poi montare tutto in maniera corale, sul tema degli #ambientidomestici. Non è necessario virtuosismo nel disegno, solo voglia di sperimentare. Che ne risulterà... [continua a leggere](https://www.apuliacore.org/evento/a682f85b-b997-4da6-bc37-82831f5360ed"
48,🎭 UN MUCCHIO DI COMICI - a stand-up comedy show,"10.05.2025 | 21:00 - 23:00
",Arena Airiciclotteri,"
La stand-up comedy approda alll'Arena Airiciclotteri!

Stand Apulia inizia una nuova mini rassegna di fine primavera in collaborazione con Tettoia Creativa.

Primo appuntamento? Sabato 10 Maggio alle 21:00"
49,🖍 Oltre il Segno. 8 masterclass verso il fumetto d'autore,23.05.2025 | 15:00 - 23.10.2025 | 09:00,"ODE - Officina degli Esordi

🎉 *LA CALL È APERTA!*
✏️ ""Oltre il Segno"" è il percorso professionalizzante per 15 artist3 *under 35* che ti accompagnerà nel mondo del fumetto d'autore. Se hai talento, visione e voglia di far diventare la tua passione per il fumetto una professione, candidati ora!
🎓 8 masterclass esclusive con docenti di altissimo profilo e la casa editrice Coconino Press come partner.
🎨 Una residenza artistica intensiva. 
🆓 Tutto completamente gratuito.
","+ il tuo portfolio entro il 10 maggio 2025. 
👉 Tutte le info e il form sono al link https://linktr.ee/oltreilsegno
Il progetto è realizzato grazie al sostegno del Ministero della Cultura e di SIAE, nell’ambito del programma “Per Chi Crea”.
#OltreIlSegno #CallForArtists... [continua a leggere](https://www.apuliacore.org/evento/c7afad49-575a-44d5-94c5-dfa148f63888"
50,"📖 FumettOFF con Giulia Cellino e Claudio Losghi per ""Animazione,Fumetti e Graphic novel nei paesi slavi""",12.05.2025 | 19:00 - 22:00,"Spine Bookstore c/o Officina degli Esordi

""FumettOFF"", a cura di Spine Bookstore, è un evento inserito all'interno delle due Giornate Internazionali di Studi ""Animazione, Fumetti e Graphic Novel nei paesi slavi"", che si terranno il 12 e 13 Maggio presso l'Università di Bari, nella Biblioteca dell'Ateneo, con una parentesi serale in Officina degli Esordi.

✨Il 12 Maggio alle 19.00, da noi in Officina degli Esordi, abbiamo organizzato una mostra e un incontro con la fumettista Giulia Cellino ""Ritardo"", che racconterà la sua esperienza di residenza artistica a Riga, presso la casa editrice lettone kuš! komikss, nell’ambito del programma ""Baba Jaga Europe”.
Inoltre, sarà presente anche l'illustratore Claudio Losghi, che racconterà il vignettista sovietico Leonid Soyfertis (1911-1996), accompagnato da... [continua a leggere", accompagnato da... [continua a leggere](https://www.apuliacore.org/evento/3612a84f-558b-48ca-b32b-efd6441f5567
51,🎹 SONIC BARRICADES,03.05.2025 | 22:00 - 06:00,"Le Macerie - Baracche Ribelli

Contro la repressione che impone il silenzio
Contro le logiche capitalistiche sempre più stringenti
In risposta ai governi assassini, complici del declino della società e responsabili di abusi indicibili verso la popolazione
Contro la prigionia del pensiero che vogliono imporci 
In risposta alla chiusura sempre più massiva dei liberi spazi per favorire il “decoro borghese”
Contro ogni forma di razzismo, sessismo, proibizionismo e totalitarismo

Le Macerie Baracche Ribelli innalzano una
🔊🔊 SONIC BARRICADE 🔊🔊
8 ore di musica no stop ad alto voltaggio con una Line Up che unisce tutta la penisola da nord a sud

A partire dalle 22:

BASSDRIVER
SHOCK RAVER 
BLACKQIREX
KRACK01
TONNA
SKEGGIA

🔊 REBEL SOUND in da place 

📣 Nel posto è presente una colonia felina! Se puoi lascia il cane a casa (per pietà delle sue orecchie) o tienilo vicino ⚠️",o tienilo vicino ⚠️
52,🎹 CONCENTRATO DI DISTORSIONI,03.05.2025 | 22:00 - 23:59,"Bread&Roses - Spazio di mutuo soccorso

🌓Il 3 maggio blastiamo un concentrato di distorsioni e intricatissimo casino 🔥🔥con set di saze a seguire.
Finalmente i Comma e i Sutura suoneranno al bread entrambi per la prima volta e noi godiamo❤️, aspettatevi prog rock, hardcore math emoviolence o quello che volete... Alla fine comunque ci sfonderemo le recchie🪲

⏰ start 22:00
🍲 cibo VEGANO
💴 INGRESSO GRATUITO",
53,🎹 🪩 “FIGLI DELLE STELLE” - FESTA IN UNIVERSITÀ!🕺(INGRESSO GRATUITO),06.05.2025 | 21:00 - 02:00,"Palazzo Ateneo

https://www.instagram.com/p/DI_8TfZMC5f/?igsh=NGpma2R2cjFrZGto

🏫 L’università non è solo lezioni e studio. Il percorso universitario è in grado di regalare tante esperienze indimenticabili, come le feste organizzate da UDU-Link Bari! ☀️💓

🎧 DJ SET: @paolo_hz e @yelpooo

💸 Ingresso gratuito e aperto a tutt*

🌟 “Noi siamo figli delle stelle. Figli della notte che ci gira intorno” NON FARTELO RACCONTARE!",
54,🎨 CORSO DI DISEGNO ARTISTICO BASE FACTALAB A ZONA FRANKA,28.04.2025 | 19:30 - 22:00,"Zona Franka 3.zero

https://www.instagram.com/p/DIYdWV5tv8-/?igsh=OGFmcWFpdWttMzc4

Corso di disegno artistico base a BARI !

Avrai tutte le nozioni necessarie per una completa autonomia.

A fine corso saprai impostare un' illustrazione o un elaborato pittorico senza aiuto di un esperto.

Al corso si accende con tessera arci.

Ci vediamo il 28 aprile per parlarne tutti insieme.
Evento di presentazione gratuito!",
55,❔ Seminario Internazionale di Shidokan Karate,06.06.2025 | 18:00 - 08.06.2025 | 13:00,"Bari

Seminario internazionale di Shidokan Karate! 
Per 3 giorni la città di Bari ospiterà i grandi maestri giapponesi che terranno in via esclusiva uno stage tecnico dello stile di arti marziali più completo al mondo. 
Le iscrizioni sono aperte a tutte le scuole di sport da combattimento, o anche ai curiosi che desiderano partecipare o assistere.

Programma:
Giorni 6-7 giugno seminario tecnico (striking+proiezioni+grappling). 
8 giugno:torneo regole full contact. 
Tutte le informazioni sono consultabili nella locandina!"," 
8 giugno:torneo regole full contact. 
Tutte le informazioni sono consultabili nella locandina!"
56,✊ Festa Antifascista,24.04.2025 | 20:00 - 01:00,"Via Francesco Saverio Abbrescia, 13

✊ Aspettando la festa della liberazione

🥳 Il 24 aprile alle 20:00 ti aspettiamo nella nostra sede a Bari in via Abbrescia 13 per festeggiare insieme la liberazione dell'Italia dal f4sc1smo!

🎯 Beerpong, freccette, balli e karaoke e se hai altro da suggerirci non ti resta che venire e proporcelo

❗Se sai già di esserci, compila il form in bio per aiutarci ad organizzare la festa in conformità, ad esempio, alle tue esigenze alimentari

❤️ Vieni alle 18:00 in sede per scoprire come votare da fuorisede ai referendum dell'8 e 9 giugno

🔥 Ricorda: La festa della liberazione è divisiva solo se sei f4sc1sta, quindi... Non mancare e porta un amicə 😎",
57,🎹 25 APRILE BARESE-CORTEO E CONCERTO ANTIFASCISTA!✊,25.04.2025 | 17:00 - 01:30,"Piazza Umberto I

https://www.instagram.com/p/DIlpDcQNB_x/?igsh=enI2MnB0eDBpN3Bq

📌Corteo: H 17 in piazza Umberto I
📌Concertone antifascista : H 20 in Piazza Umberto I (INGRESSO GRATUITO)

🚩Nell’80esimo anniversario della Liberazione dell’Italia dal nazifascismo, come Coordinamento Antifascista di Bari (Anpi, Arci, Cgil, Libera, Udu-link, Uds, Zona Franka) celebreremo la giornata del 25 aprile, ci mobiliteremo e invitiamo tutti gli Antifascisti a scendere in piazza con noi per i diritti, la democrazia, la Costituzione e la giustizia sociale, contro il governo Meloni e le sue politiche liberticide e antisociali.

🎸Al termine del corteo ci vedremo in piazza Umberto alle ore 20 per iniziare il concerto per la giornata della Liberazione, unisciti a noi per una serata di musica e lotta!
Crediamo che il 25 Aprile, oltre ad essere una giornata di Resistenza e di celebrazione della nostra storia... [continua a leggere","
🚩Nell’80esimo anniversario della Liberazione dell’Italia dal nazifascismo, come Coordinamento Antifascista di Bari (Anpi, Arci, Cgil, Libera, Udu-link, Uds, Zona Franka celebreremo la giornata del 25 aprile, ci mobiliteremo e invitiamo tutti gli Antifascisti a scendere in piazza con noi per i diritti, la democrazia, la Costituzione e la giustizia sociale, contro il governo Meloni e le sue politiche liberticide e antisociali.

🎸Al termine del corteo ci vedremo in piazza Umberto alle ore 20 per iniziare il concerto per la giornata della Liberazione, unisciti a noi per una serata di musica e lotta!
Crediamo che il 25 Aprile, oltre ad essere una giornata di Resistenza e di celebrazione della nostra storia... [continua a leggere](https://www.apuliacore.org/evento/f263a2b2-8610-4df7-9f0e-30194722bac9"
58,🎭 CIME DI STAND-UP,18.04.2025 | 21:00,"""Teatro Osservatorio"" APS

CIME DI STAND-UP torna al Teatro Osservatorio!

Venerdì 18 Aprile Stand Apulia torna a @improfficina e fa il botto 💥

BEN OTTO COMICI! Ammucchiata speciale, quasi gang bang, con nuove facce che scendono in Puglia apposta apposta per voi 🤩

Vuoi venire? Prenota il tuo posto il prima possibile, andiamo via facilmente 👀

Ci vediamo in via Giuseppe Re David 116/A (Bari) alle 21:00!

Come può un venerdì essere più santo?


BIGLIETTI:

https://www.eventbrite.it/e/cime-di-stand-up-tickets-1321144160749?aff=oddtdtcreator","alle 21:00!

Come può un venerdì essere più santo?


BIGLIETTI:

https://www.eventbrite.it/e/cime-di-stand-up-tickets-1321144160749?aff=oddtdtcreator"
59,🎹 FESTA DI PRIMAVERA,19.04.2025 | 21:30 - 23:59,"Bread&Roses - Spazio di mutuo soccorso

Ecco qui : 🌼🌸🌺🥀

il 19 aprile si festeggia una sera di primavera qualunque, che qualunque non è mai, in compagnia di nuovi e vecchi amici:

21.30//La Fiera della Fine (dell’inverno n.d.p)
dance up comedy electronic distopian distortion experimental muddy ritual from Sestri Levante
per la prima volta a Bari ❤️‍🔥

https://fieradellafine.bandcamp.com/

e dopo, nostro fratello Dittofused 
140 hyperambient post-idm-trailerstep aka ditto il fuso
LIVE A/V in collab con @medu.medu.medu 
🪄 

(cercate)

che ci porteranno da qualche parte dove decidono loro
e noi ci andremo eccome!!

a seguire, si continua ad ascoltare o ballare o entrambe le cose: djset aperto e libero, come il contributo necessario per partecipare a questa serata ✅

Vi ricordiamo che il contributo serve per sostenere gli artisti, il @breadandrosesbari e la comunità tutta.

A prestissimo 🔆","dance up comedy electronic distopian distortion experimental muddy ritual from Sestri Levante
per la prima volta a Bari ❤️‍🔥

https://fieradellafine.bandcamp.com/

e dopo, nostro fratello Dittofused 
140 hyperambient post-idm-trailerstep aka ditto il fuso
LIVE A/V in collab con @medu.medu.medu 
🪄 

(cercate

che ci porteranno da qualche parte dove decidono loro
e noi ci andremo eccome!!

a seguire, si continua ad ascoltare o ballare o entrambe le cose: djset aperto e libero, come il contributo necessario per partecipare a questa serata ✅

Vi ricordiamo che il contributo serve per sostenere gli artisti, il @breadandrosesbari e la comunità tutta.

A prestissimo 🔆"
60,"📖 ""LA GRANDE RIMOZIONE"" con Roberto Grossi a Spine insieme a Fridays For Future Bari",16.04.2025 | 18:30 - 20:30,"Spine Bookstore c/o Officina degli Esordi

Il booktour italiano del bellissimo e ultra attuale graphic novel ""La grande rimozione"" di Roberto Grossi, pubblicato nella collana Cult di Coconino Press, passa dalla Puglia e fa tappa a Bari da SPINE.
Con l'autore dal vivo, in Officina degli Esordi, un dialogo attorno al fumetto su crisi climatica, sulla ""rimozione"" e sulla lotta di classe, inoltre non da solo ma accompagnato da alcuni membri del collettivo ""Giustizia Climatica Ora- Fridays For Future Bari"".
Ingresso libero, firmacopie a seguire e libro disponibile sul posto.

IL LIBRO.
Roberto Grossi affronta ""la grande rimozione"" della nostra epoca: il cambiamento climatico causato dall’uomo. Una minaccia che facciamo di tutto per non vedere, che fatichiamo a comprendere, nonostante metta in discussione la nostra stessa... [continua a leggere",
